Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.7086247086247086, Test accuracy: 0.6486486486486487, F1: 0.6486486486486487
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9805749805749806, Test accuracy: 0.8494208494208494, F1: 0.849576967364562
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9805749805749806, Test accuracy: 0.8494208494208494, F1: 0.849576967364562
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9821289821289821, Test accuracy: 0.8455598455598455, F1: 0.8457199665277559
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9821289821289821, Test accuracy: 0.8455598455598455, F1: 0.8457199665277559
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9821289821289821, Test accuracy: 0.8455598455598455, F1: 0.8457199665277559
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.7148407148407149, Test accuracy: 0.6602316602316602, F1: 0.6605811952901648
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.7148407148407149, Test accuracy: 0.6602316602316602, F1: 0.6605811952901648
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.7148407148407149, Test accuracy: 0.6602316602316602, F1: 0.6605811952901648
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9797979797979798, Test accuracy: 0.8281853281853282, F1: 0.8283885644784484
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9797979797979798, Test accuracy: 0.8281853281853282, F1: 0.8283885644784484
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9797979797979798, Test accuracy: 0.8281853281853282, F1: 0.8283885644784484
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001} => Train accuracy: 0.9844599844599845, Test accuracy: 0.805019305019305, F1: 0.8054767783882608
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.01} => Train accuracy: 0.9844599844599845, Test accuracy: 0.805019305019305, F1: 0.8054767783882608
Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.1} => Train accuracy: 0.9844599844599845, Test accuracy: 0.805019305019305, F1: 0.8054767783882608
=====================================================
Best Params: {Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='blockSize', doc='block size for stacking input data in matrices. Data is stacked within partitions. If block size is more than remaining data in a partition then it is adjusted to the size of this data.'): 128, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='featuresCol', doc='features column name.'): 'features', Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='labelCol', doc='label column name.'): 'fraudulent', Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='maxIter', doc='max number of iterations (>= 0).'): 15, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='predictionCol', doc='prediction column name.'): 'prediction', Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='probabilityCol', doc='Column name for predicted class conditional probabilities. Note: Not all models output well-calibrated probability estimates! These probabilities should be treated as confidences, not precise probabilities.'): 'probability', Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='rawPredictionCol', doc='raw prediction (a.k.a. confidence) column name.'): 'rawPrediction', Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='seed', doc='random seed.'): -6512325955086520849, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='solver', doc='The solver algorithm for optimization. Supported options: l-bfgs, gd.'): 'l-bfgs', Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='stepSize', doc='Step size to be used for each iteration of optimization (>= 0).'): 0.001, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='tol', doc='the convergence tolerance for iterative algorithms (>= 0).'): 1e-06, Param(parent='MultilayerPerceptronClassifier_a7d4e7d585ef', name='layers', doc='Sizes of layers from input layer to output layer E.g., Array(780, 100, 10) means 780 inputs, one hidden layer with 100 neurons and output layer of 10 neurons.'): [21000, 24, 2]}
